ID cluster length robot_feedback previous_result current_result engagement action
user_6/session_1 2 3 1 1 1 0.296946671 4
user_6/session_1 2 5 0 1 1 0.2866940118 1
user_6/session_1 2 5 2 2 1 0.2121779186 5
user_6/session_1 2 7 0 2 1 0.4891099752 2
user_6/session_1 2 9 0 3 -1 0.1987579579 3
user_6/session_1 2 9 1 -4 -1 0.3381990088 4
user_6/session_1 2 9 0 -4 -1 0.6295798997 3
user_6/session_1 2 7 0 -4 -1 0.2128616833 2
user_6/session_1 2 7 0 -3 -1 0.2485660255 2
user_6/session_1 2 5 0 -3 1 0.3048962616 1
user_6/session_1 2 5 2 2 1 0.2598514286 5
user_6/session_1 2 7 0 2 1 0.279818031 2
user_6/session_1 2 3 0 3 1 0.1534232905 0
user_6/session_1 2 3 1 1 1 0.2920712778 4
user_6/session_1 2 5 0 1 1 0.6873812113 1
user_16/session_1 1 3 0 0 1 0.111810307 0
user_16/session_1 1 5 0 1 -1 0.0690118762 1
user_16/session_1 1 7 0 -2 -1 0.1042918772 2
user_16/session_1 1 7 1 -3 -1 0.0821490236 4
user_16/session_1 1 7 0 -3 -1 0.3616522533 2
user_16/session_1 1 9 0 -3 -1 0.1513337603 3
user_16/session_1 1 9 2 -4 -1 0.1894538206 5
user_16/session_1 1 5 0 -4 1 0.1058832424 1
user_16/session_1 1 5 1 2 1 0.0877884995 4
user_16/session_1 1 3 0 2 1 0.0289582869 0
user_16/session_1 1 3 0 1 1 0.0444203408 0
user_16/session_1 1 7 0 1 -1 0.046369962 2
user_16/session_1 1 7 1 -3 -1 0.0734432519 4
user_16/session_1 1 9 0 -3 -1 0.086387533 3
user_16/session_1 1 9 2 -4 -1 0.1618690449 5
user_16/session_1 1 7 0 -4 -1 0.0862871053 2
user_16/session_1 1 5 0 -3 1 0.1022994421 1
user_16/session_1 1 5 1 2 1 0.1097150005 4
user_16/session_1 1 3 0 2 1 0.0950413937 0
user_16/session_1 1 5 0 1 -1 0.0636808324 1
user_16/session_1 1 9 0 -2 -1 0.0838307689 3
user_16/session_1 1 9 2 -4 -1 0.1056106097 5
user_16/session_1 1 9 1 -4 -1 0.1253352101 4
user_16/session_1 1 5 0 -4 1 0.0984623279 1
user_16/session_1 1 3 0 2 1 0.0458668106 0
